 ,X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
B:AA,0.03312220469654222,0.041532313591552905,0.05411687536713565,0.06653179802167522,0.049349018188640036,0.03393381147172914,0.04803780757069461,0.13710499863290826,0.09522608903326324,0.05751298404527435,0.06439700610235159,0.05514468886522072,0.019450622043373063,0.03088762505895791,0.04888600317591044,0.03871497367932618,0.0716196411500601,0.020884904180506668,0.02337094886810791,0.010175686256769765
B:AG,0.028260962431254418,0.038669088293373274,0.051786386066643424,0.05870262910940452,0.04576860695372497,0.036594490982977415,0.045576374257079194,0.1423638145030268,0.12165022468488307,0.05682991058079079,0.062067734809827434,0.05780967722821122,0.018938710153055812,0.026605280818208503,0.0447323418076488,0.0387324768528407,0.06704029169761452,0.024449380790234853,0.021487343647295033,0.011934274331905253
B:CC,0.026119875028027956,0.03669066819522639,0.05262363491851608,0.053000540056204234,0.04479936344910079,0.039131826934234414,0.04255625440049835,0.1463822777808314,0.13721004696482306,0.056182422086641065,0.06138231704178325,0.05890713214451171,0.018754520462371867,0.024438633823571754,0.041297286544748325,0.0374296465554622,0.06188485722536746,0.027231396197969424,0.02021764526770298,0.013759654922407272
B:GA,0.02898636949968614,0.038882450730845904,0.05228790293097145,0.058819471749132574,0.04604691347805393,0.03638536514703143,0.045376942656705915,0.1445429712559237,0.11607136698190648,0.0564629334547386,0.06267719305506694,0.05830125751022632,0.018885071980906262,0.026795383840683182,0.04549593361339321,0.03950672212679952,0.06699880664141988,0.023677475874152407,0.022071960212183293,0.011727507260172864
N:AA,0.08227312435476529,0.07618225372826287,0.06226655039050017,0.07031218140236746,0.05978797471587034,0.05305301731490886,0.055336032835385844,0.050819996932168474,0.04700023756257756,0.041404281761103945,0.04868274027479561,0.03823213994493016,0.04912490803142932,0.04883451876986844,0.04934738518281541,0.03995032429391266,0.03797447269659535,0.03418283840448903,0.03620001742335569,0.0190350039798975
N:AG,0.0747781472477703,0.07489182656217057,0.06378850693465815,0.06660567063314196,0.06068780931268889,0.05428976720813011,0.05508344710930248,0.05361708127487052,0.047475900827465514,0.04380689551142331,0.047751155771914654,0.041767613662327605,0.050068190035249295,0.04969642254828246,0.04791909061774502,0.04015006202768408,0.03636973710624228,0.03519412652698336,0.03607543117782715,0.019983117904122286
N:CC,0.07325119712774296,0.07351752066933279,0.06450867421125774,0.06410482709643979,0.06132805168086685,0.05547493758406534,0.05469562042956171,0.055614711796630356,0.04741788333164969,0.04466441312791459,0.04712834967565878,0.043680877397861265,0.05023944330011233,0.04978670976296533,0.04691417756839379,0.040212242770467796,0.03535873587053379,0.036145572062371394,0.03549246822594933,0.020463586310224397
N:GA,0.076322977735931,0.07507895780192174,0.063335861380105,0.06726457820374956,0.06047819984212311,0.0541361954270829,0.055177039065523244,0.053476721572236215,0.04747092690293761,0.043259739178456894,0.04794313293594496,0.04083359886169244,0.04985959300838581,0.049586939731506054,0.04819240354378028,0.04015972892208528,0.036622607283221364,0.035009889630188896,0.03603896450805058,0.019751944465077054
Q:AC,0.06150571629796624,0.07482411413426722,0.06987802966548261,0.060654906648024816,0.05934232293482319,0.058382279128866385,0.05712708137154091,0.05554068843854698,0.04946634212901442,0.04779882895414011,0.049789708948459126,0.046911157128684426,0.045711597140943576,0.04602076956729157,0.04732354218048806,0.03930029067243733,0.03705534093708122,0.036138411729727496,0.034293928593722,0.02293494339849233
Q:AT,0.07152600236044485,0.07682850178615627,0.06842820427368099,0.0643528369419327,0.058034737570566944,0.05618029829361196,0.057923165607256716,0.05278206671002794,0.048092625581834365,0.04505621998781976,0.05044418614263349,0.04196869917554141,0.0457193726879256,0.04573186172970858,0.048674889273133834,0.03924547132404887,0.03850432724296624,0.03448656687916965,0.03443919465171699,0.02158077177982286
Q:CA,0.06144797371270676,0.07462675483207531,0.07000517141161608,0.06024021741652013,0.05952146428520826,0.05844540733506634,0.05708469228070064,0.05627088104084866,0.04957029848867119,0.047926390141049685,0.0493694280958977,0.047222979528910344,0.04574297802573653,0.04584392944351986,0.047284323401468625,0.03934255594215938,0.036879307282874786,0.03618347228524061,0.034143032533475184,0.022848742516253906
Q:CG,0.045401808787223885,0.0691965828649078,0.07125136724929579,0.05578658116585645,0.062425338681629805,0.0633456269471419,0.05460558124322229,0.057365884060256944,0.0531057047850494,0.05014294885255962,0.05182879369414041,0.05449060960351784,0.04479515191523551,0.0460722035010199,0.04408584012095298,0.04078725460462588,0.03537150497923205,0.04001560991728973,0.03379093763095293,0.026134669395888894
Q:GC,0.0552570525371507,0.07272571299786013,0.07127476455775165,0.05740309336590253,0.060959882197348464,0.06000089508264354,0.05622818283789007,0.058054987706742514,0.0505238066398483,0.049618413744009264,0.04884242406098232,0.051251643626053105,0.045750369851661435,0.045418341541694315,0.046062741856561784,0.0397305285730313,0.035906503730058346,0.0373705786487811,0.033742563157741594,0.023877513286287524
Q:TA,0.07131414828219243,0.07699148978002447,0.06862292694152076,0.06444741535890805,0.05804745038417292,0.05607957770661557,0.0578989101237888,0.052018541069396955,0.0478377872508675,0.04519331583823647,0.05065453340818566,0.042266427415854,0.04579222131837526,0.04570700579291037,0.04859075792701662,0.03921964973407668,0.03862450538920289,0.03440781183369676,0.03452680382879637,0.02175872061616147
T:AA,0.05019567461302632,0.07719002853974834,0.07986989710250965,0.05359190971670631,0.056225897146622884,0.061334571871363444,0.06172027855993183,0.0552536064885519,0.048358250997746266,0.05291551027270146,0.052557142846319,0.05132268781610101,0.04034521637836899,0.04176085979054126,0.04698430048656731,0.037322838845004355,0.03786923473048539,0.03578420032258225,0.032022178939617146,0.027375714535504882
T:AG,0.04173061041023424,0.07422564717541157,0.07973792455736518,0.04983439222480367,0.058780527800003216,0.06409336507975223,0.06000535329580199,0.06019904912528204,0.051203962925338534,0.054781192408431975,0.05117118524156852,0.056991376577404766,0.03956537288547302,0.03998076623835241,0.04584692484088888,0.03827517521078602,0.03668461357165165,0.03784663152968753,0.031135096553766103,0.02791083234799647
T:CC,0.03740413245560314,0.07180574942415259,0.07924848702567225,0.04729939636521403,0.06101849923308144,0.0661438781283416,0.058067918186779935,0.06351325974010545,0.05329614398675652,0.05532489325101861,0.05056964942563124,0.06115388481787542,0.039066506856090956,0.03846518268952247,0.04492757824888982,0.039133918087161726,0.0354339479471945,0.03925117475559659,0.030408060108947157,0.028467739266364533
T:GA,0.0432608238265936,0.07483110874732131,0.07938538408654935,0.05060218372912803,0.058085406043303714,0.0636502938562607,0.06049832471492517,0.05963595854096094,0.0511850438587442,0.054266822070562694,0.051780162327151054,0.05545156663480135,0.039317698315723355,0.04025291404592935,0.046124387688017444,0.038117750227400146,0.03701282814458548,0.03759248837017967,0.03123442235778353,0.027714432414078914
U:AA,0.04964575334709437,0.07744262324914365,0.08062864798880191,0.05420475669221167,0.056160565029010456,0.06101333942398591,0.062372769970362334,0.054710283529544365,0.04935012742883268,0.05261300387829171,0.053199593478017,0.05122419622692946,0.03978623794675493,0.04123066658443417,0.0466526349214044,0.03725594678643235,0.038346546743241484,0.035191929437497244,0.03192929111303597,0.027041086224973955
U:AG,0.04113852096161514,0.07445723284504069,0.07982207749715521,0.049957059655406595,0.05909269019814268,0.0640320018682893,0.060050739056917296,0.05990746374819873,0.05147096983033303,0.054856767211871486,0.05112777960640543,0.05725495574751361,0.03958421622614063,0.03980623639681828,0.04583859979915018,0.03817805213613087,0.03684858864894314,0.03759039577620083,0.031194454072147847,0.027791198717579003
U:CC,0.038037147755965596,0.07162139354324523,0.07930131686029647,0.04726551215254028,0.06064385025356535,0.06630835488259589,0.05820988126459523,0.06339173196824752,0.05361594764227918,0.05523114186457756,0.050963411789190116,0.061004865527652226,0.03884652041239532,0.03848881703624105,0.04461028998223921,0.03895886735004246,0.035464851830010365,0.039321814564590024,0.030424511165245104,0.028289772154485835
U:GA,0.04243144822235094,0.07492222552052098,0.07965292963037376,0.05062078526804323,0.058636873536948846,0.0635462605781848,0.06046301375637241,0.05948546054774032,0.05131107155648525,0.05435494140395695,0.0515365311620852,0.05597646670805653,0.039369376434559004,0.040008129098863886,0.04614210040084571,0.03809030197316301,0.03704048607042836,0.037360770847878096,0.03129096881825934,0.02775985846488337
